"","larvi","emerg","pden","pmort","amort","difcoeff","mo.out","flypop"
"1",0.0465394820497216,0.0139143147856789,1.36261816782225e-05,0.00344384965633129,0.00802177016967209,0.257415430660918,0.200157351016144,3.42
"2",0.0535458364663064,0.0117339123305539,2.40733308122121e-05,0.00255111725256196,0.00547100615331437,0.159818404787593,0.105334779936282,5.17
"3",0.0564374901025003,0.0134965684235562,2.86232975335233e-05,0.00470041376488371,0.00502704018091084,0.375829589617532,0.152180843674738,4.97
"4",0.0432049537224035,0.0112209134885808,4.26854206562415e-05,0.00291934359426028,0.0137095109152794,0.11826176611688,0.124854308529769,3.36
"5",0.043377871489293,0.0144095210144017,1.71674468301889e-05,0.00482982513188617,0.00584140058370074,0.291462155963946,0.119665821749821,5.47
"6",0.0591767497053661,0.014517460929174,2.70989288849942e-05,0.00484715268984873,0.010872867098432,0.299224849945027,0.219950365227286,3.58
"7",0.0492032180415117,0.0147492138619535,4.0394802106889e-05,0.00450191519303247,0.00526943415538408,0.202417625096161,0.191730807638294,3
"8",0.0605488452091377,0.0158856203891896,1.45397415136453e-05,0.00130090491518262,0.00939238979096059,0.434990621533431,0.185311364984591,5.27
"9",0.0601325662022282,0.0131957942481541,1.15470290049166e-05,0.00227656601875875,0.0134372828064137,0.37427899241345,0.230035815367637,3.97
"10",0.0494159864428511,0.0163632002921604,3.69700304667652e-05,0.00381240764383372,0.0107862698975997,0.212379328541458,0.12222003583798,5.4
"11",0.0476005966061784,0.0115197328290405,3.14241038771346e-05,0.00382875367369765,0.00968690816707676,0.259114851643238,0.132251948753224,5.1
"12",0.0480610772052314,0.0102437179673805,7.863556091059e-06,0.00475590442537883,0.0119864135606471,0.179135461074486,0.0765591044603125,6.38
"13",0.0578183113915826,0.0136243606348848,2.23701015072595e-05,0.0027730984492891,0.00747238314020215,0.211706505452003,0.200281786812613,3.35
"14",0.0449280068212781,0.0148559132857698,1.85219161783159e-05,0.00245319939115405,0.0136326343216957,0.131967399575096,0.210792339085236,2.28
"15",0.0528561406679655,0.0162662719128948,3.18935375930928e-05,0.00294200441911991,0.00938017820242327,0.273455577953998,0.0865442696647893,8.34
"16",0.0464490310376277,0.0146182403626122,3.73853476813622e-05,0.0040754930542587,0.0120262939612707,0.471086315071676,0.107997633034057,7.24
"17",0.0547323428881888,0.0113707818405082,1.72986485646386e-05,0.00351733622848522,0.0107170664051361,0.495489565841761,0.0821441003986844,10.13
"18",0.0419605237455447,0.0147575397702819,2.3539791441001e-05,0.00460856174244545,0.0137707011335739,0.312488039817102,0.111654708840525,4.82
"19",0.058131628796759,0.0156803143662711,3.81633803912438e-05,0.00225072435617069,0.0140268307027942,0.33478763968274,0.183730212152612,4.77
"20",0.0503945963659013,0.0100641498873616,6.95217111690901e-06,0.00447315957328043,0.010416485280979,0.165957795354258,0.0834526668314601,6.46
"21",0.04249564878953,0.0143606722054724,3.2191261939574e-05,0.00346856604271539,0.0141911111177062,0.322440120879654,0.144560625243112,4.13
"22",0.0518461321833505,0.0128544931659832,7.89565010554157e-06,0.00326017433683941,0.0124041037657601,0.409338240118418,0.0850404351474356,9.07
"23",0.0421329713200879,0.010067277273885,1.02072264918126e-05,0.00162435526985792,0.0087220022079628,0.203872567539942,0.228350065458551,2.65
"24",0.0571266196628858,0.0157518954463257,1.75783150485624e-05,0.00141441011906776,0.011942804512924,0.320123279457819,0.0924610384412867,8.98
"25",0.0492264171517551,0.0100246789280356,5.16044396077283e-06,0.00131393668782082,0.0066647192191449,0.305141731752362,0.108547001082549,6.66
"26",0.0531338441127154,0.0158177223410613,3.52938688473497e-05,0.00207846679494221,0.0136696610868722,0.13960678000031,0.154019169264236,3.92
"27",0.0554960348875902,0.0147432580764204,1.05066110238805e-05,0.0012939981869125,0.00633834462892497,0.152001363137085,0.0213641302177473,20
"28",0.0468318703752496,0.0109180798678845,1.79471696141642e-05,0.00293301580180327,0.0127436572835897,0.399645367328264,0.0317168250217428,16.62
"29",0.0569495025259772,0.0140980288196402,6.13633330200799e-06,0.00175086124051653,0.014470652492966,0.12197656358555,0.131831188711151,4.55
"30",0.061205235009232,0.0106863139624195,2.83987930256594e-05,0.00162983624172979,0.0145057362364605,0.212670709054265,0.13100543414155,5.8
"31",0.0482415962755331,0.0136635431260988,2.05908415346127e-05,0.00160749764377688,0.0149550406540744,0.133693042403553,0.111832096678317,4.8
"32",0.0508443138134802,0.0155027859050004,1.48276761511154e-05,0.00414646507672151,0.012573968402415,0.353214725786634,0.160118874270663,4.88
"33",0.0598376836532746,0.0163778022999363,1.60995141686499e-05,0.00152043358001451,0.00977105343287112,0.192991262357961,0.0974797099367657,7.28
"34",0.0593314410062352,0.0149220220174035,3.56432822040562e-05,0.00204480864547775,0.0052195722461259,0.166944509275444,0.0640192952627351,8.26
"35",0.0478136816984431,0.0112189458486143,1.17099329661485e-05,0.00178758342337678,0.00579385885230731,0.201618690206483,0.18800322103689,3.19
"36",0.048485926001551,0.0115669183894775,2.13056481590774e-05,0.00346226515384275,0.00626088671281934,0.18593177232556,0.0980191892536415,5.83
