"","run","perc.vector","perc.host","num.tsetse","trans"
"1.10",1,5.25295441680105,61.3651210246962,3778.09038634456,-10000
"1.11",1,5.22747641468088,61.2383180423789,3684.96654728447,-9000
"1.12",1,5.19556169066485,61.0700304416562,3567.76276625504,-8000
"1.13",1,5.15570682033099,60.8441452653251,3420.8963553686,-7000
"1.14",1,5.10606483299254,60.5361493321986,3237.74372978631,-6000
"1.15",1,5.04437017745074,60.1071032358088,3010.64837787146,-5000
"1.16",1,4.9678459367469,59.4916132787923,2731.09812516276,-4000
"1.17",1,4.87308983311443,58.5714316926394,2390.21497071425,-3000
"1.18",1,4.75592923234293,57.1094790348097,1979.79334377157,-2000
"1.19",1,4.61113138854888,54.5509300766245,1494.26600482254,-1000
"1.20",1,4.43035664428457,49.2158751250359,934.189595824942,0
"1.21",1,4.15202796456117,32.4323433549367,312.130039495922,1000
"1.22",1,3.74796162318319,15.7560723472199,104.692536531399,2000
"1.23",1,3.30471140195669,6.03864501345848,35.1644713359085,3000
"1.24",1,2.88240865052061,2.04629115010446,11.816910959774,4000
"1.25",1,2.50320141218373,0.656698433248485,3.97172541066073,5000
"2.10",3,5.46354049436438,70.5728517719759,3778.09038634456,-10000
"2.11",3,5.42721413409844,70.3910216097979,3684.96654728447,-9000
"2.12",3,5.38199491773208,70.1500392034805,3567.76276625504,-8000
"2.13",3,5.32595973510277,69.8271234197454,3420.8963553686,-7000
"2.14",3,5.25682647612045,69.387758735937,3237.74372978631,-6000
"2.15",3,5.17192079360931,68.7774306280896,3010.64837787146,-5000
"2.16",3,5.06816120142737,67.9053401186455,2731.09812516275,-4000
"2.17",3,4.94208762874492,66.6092626327974,2390.21497071425,-3000
"2.18",3,4.78997839885128,64.5696611680229,1979.79334377157,-2000
"2.19",3,4.6080485825493,61.0584553515275,1494.26600482254,-1000
"2.20",3,4.39129367249667,53.9661569829998,934.189595824942,0
"2.21",3,4.08335808498278,33.4302290550607,312.130039495922,1000
"2.22",3,3.66290431349337,15.2757909803003,104.692536531399,2000
"2.23",3,3.21916543495348,5.62731113042733,35.1644713359084,3000
"2.24",3,2.80389292759629,1.86317811601252,11.816910959774,4000
"2.25",3,2.43369093442973,0.588148832955392,3.97172541066073,5000
"3.10",5,4.72022885270046,66.7655835954493,3778.09038634456,-10000
"3.11",5,4.69830503426242,66.6820793107618,3684.96654728447,-9000
"3.12",5,4.67106619698029,66.5708651071924,3567.76276625504,-8000
"3.13",5,4.63738229496857,66.420907560806,3420.89635536861,-7000
"3.14",5,4.59591447148741,66.2152396087858,3237.74372978631,-6000
"3.15",5,4.54508948803008,65.9265612302443,3010.64837787147,-5000
"3.16",5,4.48307207063419,65.508298873493,2731.09812516276,-4000
"3.17",5,4.40773010477823,64.8745187416125,2390.21497071425,-3000
"3.18",5,4.31656480172887,63.8481177345987,1979.79334377157,-2000
"3.19",5,4.2064250766094,61.9973118875875,1494.26600482254,-1000
"3.20",5,4.0713300397867,57.918681979131,934.189595824942,0
"3.21",5,3.85914647851077,42.9337760967973,312.130039495922,1000
"3.22",5,3.52415718072471,23.8482776369007,104.692536531399,2000
"3.23",5,3.12852564086032,10.007365549544,35.1644713359085,3000
"3.24",5,2.73691474422424,3.5463630385012,11.816910959774,4000
"3.25",5,2.37964202730529,1.16351807168917,3.97172541066073,5000
"4.10",17,5.26648487277272,75.4676925389301,3778.09038634456,-10000
"4.11",17,5.24431211433247,75.4231646858743,3684.96654728447,-9000
"4.12",17,5.21694460838359,75.3636675020982,3567.76276625504,-8000
"4.13",17,5.18337525416408,75.283104764058,3420.89635536861,-7000
"4.14",17,5.142461470223,75.1720035261203,3237.74372978632,-6000
"4.15",17,5.09293742276348,75.0149278793084,3010.64837787147,-5000
"4.16",17,5.03344275114652,74.7851345483202,2731.09812516276,-4000
