"","run","perc.vector","perc.host","num.tsetse","trans"
"1.10",8,1.0148202797016,36.6199447775868,3778.09038634456,-10000
"1.11",8,0.996802817046478,36.1818206811186,3684.96654728447,-9000
"1.12",8,0.974751616780194,35.6156110618947,3567.76276625504,-8000
"1.13",8,0.947991853871076,34.881093171091,3420.89635536861,-7000
"1.14",8,0.91583027867376,33.9231530574228,3237.74372978632,-6000
"1.15",8,0.87762471539809,32.6653230769998,3010.64837787147,-5000
"1.16",8,0.83290732704037,30.999880707593,2731.09812516276,-4000
"1.17",8,0.781595902510923,28.7717678246877,2390.21497071425,-3000
"1.18",8,0.724349593718677,25.7495040466547,1979.79334377157,-2000
"1.19",8,0.663151566243544,21.5636375726662,1494.26600482254,-1000
"1.20",8,0.6020344849892,15.5531339184762,934.189595824943,0
"1.21",8,0.540817111515706,6.3243455372915,312.130039495922,1000
"1.22",8,0.475125466146635,2.19948650353537,104.692536531399,2000
"1.23",8,0.413726322831382,0.714486441270581,35.1644713359085,3000
"1.24",8,0.359072089555955,0.225294262856903,11.816910959774,4000
"1.25",8,0.311262800691519,0.0699137260766029,3.97172541066073,5000
"2.10",11,1.02521375033155,74.7360519401309,3778.09038634456,-10000
"2.11",11,1.01737844335293,74.5553631478682,3684.96654728447,-9000
"2.12",11,1.00769519654868,74.316519697374,3567.76276625504,-8000
"2.13",11,0.99579781630597,73.9973915577893,3420.89635536861,-7000
"2.14",11,0.981266882591876,73.5645230183692,3237.74372978631,-6000
"2.15",11,0.963632888356029,72.9651345637476,3010.64837787147,-5000
"2.16",11,0.94238695445257,72.1112699332141,2731.09812516276,-4000
"2.17",11,0.917004971538763,70.8452854976832,2390.21497071425,-3000
"2.18",11,0.886993714727318,68.8544645043338,1979.79334377157,-2000
"2.19",11,0.851952238662314,65.4170828736812,1494.26600482254,-1000
"2.20",11,0.811352854128843,58.3946153810124,934.189595824942,0
"2.21",11,0.755174558849346,37.2790066872499,312.130039495922,1000
"2.22",11,0.678139656059204,17.5373684143061,104.692536531399,2000
"2.23",11,0.596350471119179,6.5841798755593,35.1644713359085,3000
"2.24",11,0.519564215868335,2.20659710376185,11.816910959774,4000
"2.25",11,0.451017932697237,0.703506178682278,3.97172541066073,5000
"3.10",15,0.203183218391803,10.6283166868716,3778.09038634456,-10000
"3.11",15,0.188907234478231,9.82984153623713,3684.96654728447,-9000
"3.12",15,0.173563438213896,8.94835019918254,3567.76276625505,-8000
"3.13",15,0.157429400093843,7.99478485666835,3420.89635536861,-7000
"3.14",15,0.140861242292142,6.98601890149708,3237.74372978632,-6000
"3.15",15,0.124286116489918,5.94485624138973,3010.64837787147,-5000
"3.16",15,0.108185285330629,4.89877109458614,2731.09812516276,-4000
"3.17",15,0.0930702870729232,3.87692928282704,2390.21497071425,-3000
